node,info,event_id,lsm_id,circle,type
ap1saeX001,Node Throughput Zero,202001021340,,AP,
dl1saeX004,Node Throughput Zero,202001021340,,DL,
jk2saeX003,Node Throughput Zero,202001021340,,JK,
jk2saeX004,Node Throughput Zero,202001021340,,JK,
